batch, height, width, group, channels, stride, thread, block
1, 200, 320, 6, 16, 1, 96, 1
1, 200, 320, 7, 16, 1, 224, 2
1, 200, 320, 8, 16, 1, 640, 5
1, 200, 320, 4, 32, 1, 128, 1
1, 200, 320, 5, 32, 1, 320, 2
1, 200, 320, 6, 32, 1, 384, 2
1, 200, 320, 7, 32, 1, 224, 1
1, 200, 320, 8, 32, 1, 256, 1
1, 200, 320, 4, 64, 2, 640, 5
1, 200, 320, 5, 64, 2, 800, 5
1, 200, 320, 6, 64, 2, 768, 4
1, 200, 320, 7, 64, 2, 448, 2
1, 200, 320, 8, 64, 2, 1024, 4
1, 100, 160, 4, 16, 1, 320, 5
1, 100, 160, 5, 16, 1, 640, 8
1, 100, 160, 6, 16, 1, 96, 1
1, 100, 160, 7, 16, 1, 224, 2
1, 100, 160, 8, 16, 1, 640, 5
1, 100, 160, 4, 32, 1, 256, 2
1, 100, 160, 5, 32, 1, 160, 1
1, 100, 160, 6, 32, 1, 384, 2
1, 100, 160, 7, 32, 1, 224, 1
1, 100, 160, 8, 32, 1, 512, 2
1, 100, 160, 4, 64, 2, 128, 1
1, 100, 160, 5, 64, 2, 160, 1
1, 100, 160, 6, 64, 2, 384, 2
1, 100, 160, 7, 64, 2, 448, 2
1, 100, 160, 8, 64, 2, 512, 2
1, 50, 80, 4, 16, 1, 320, 5
1, 50, 80, 5, 16, 1, 320, 4
1, 50, 80, 6, 16, 1, 96, 1
1, 50, 80, 7, 16, 1, 112, 1
1, 50, 80, 8, 16, 1, 512, 4
1, 50, 80, 4, 32, 1, 128, 1
1, 50, 80, 5, 32, 1, 320, 2
1, 50, 80, 6, 32, 1, 384, 2
1, 50, 80, 7, 32, 1, 224, 1
1, 50, 80, 8, 32, 1, 256, 1
1, 50, 80, 4, 64, 2, 256, 2
1, 50, 80, 5, 64, 2, 640, 4
1, 50, 80, 6, 64, 2, 768, 4
1, 50, 80, 7, 64, 2, 448, 2
1, 50, 80, 8, 64, 2, 1024, 4
1, 25, 40, 4, 16, 1, 320, 5
1, 25, 40, 5, 16, 2, 400, 10
1, 25, 40, 6, 16, 1, 192, 2
1, 25, 40, 7, 16, 4, 224, 8
1, 25, 40, 8, 16, 4, 160, 5
1, 25, 40, 4, 32, 2, 128, 2
1, 25, 40, 5, 32, 1, 320, 2
1, 25, 40, 6, 32, 2, 96, 1
1, 25, 40, 7, 32, 2, 112, 1
1, 25, 40, 8, 32, 2, 640, 5
1, 25, 40, 4, 64, 2, 128, 1
1, 25, 40, 5, 64, 2, 160, 1
1, 25, 40, 6, 64, 2, 192, 1
1, 25, 40, 7, 64, 2, 896, 4
1, 25, 40, 8, 64, 2, 512, 2
1, 64, 64, 4, 16, 1, 256, 4
1, 64, 64, 5, 16, 2, 40, 1
1, 64, 64, 6, 16, 1, 192, 2
1, 64, 64, 7, 16, 1, 224, 2
1, 64, 64, 8, 16, 1, 512, 4
1, 64, 64, 4, 32, 2, 64, 1
1, 64, 64, 5, 32, 1, 320, 2
1, 64, 64, 6, 32, 1, 192, 1
1, 64, 64, 7, 32, 1, 224, 1
1, 64, 64, 8, 32, 1, 256, 1
1, 64, 64, 4, 64, 2, 512, 4
1, 64, 64, 5, 64, 2, 640, 4
1, 64, 64, 6, 64, 2, 192, 1
1, 64, 64, 7, 64, 2, 224, 1
1, 64, 64, 8, 64, 2, 256, 1
